ann_id,wine_type,normalized,optimizer,hidden_layer_1_nodes,hidden_layer_1_activation,hidden_layer_2_nodes,hidden_layer_2_activation,train_mae,validation_mae,test_mae,train_pc,validation_pc,test_pc
16,red,True,nadam,12,sigmoid,0,NA,0.4873631831521315,0.4976997885314174,0.4889204344162806,0.5933609958506224,0.5849056603773585,0.6151419558359621
17,white,False,nadam,24,sigmoid,0,NA,0.562007239933001,0.5911761924533024,0.5725902240944298,0.5190346702923182,0.49284253578732107,0.5112474437627812
17,red,False,nadam,24,sigmoid,0,NA,0.4836103374532644,0.4949486240650873,0.46960670940507476,0.6141078838174274,0.5943396226415094,0.5993690851735016
17,white,True,nadam,24,sigmoid,0,NA,0.5827093925061151,0.5946629403315195,0.5817042664759974,0.5258327668252889,0.5040899795501023,0.5143149284253579
17,red,True,nadam,24,sigmoid,0,NA,0.49324338070089885,0.5009068048225259,0.4948894970048489,0.5778008298755186,0.5786163522012578,0.5899053627760252
18,white,False,nadam,48,sigmoid,0,NA,0.5565049459462584,0.589465849970016,0.5663959941005902,0.5363698164513936,0.49591002044989774,0.5184049079754601
18,red,False,nadam,48,sigmoid,0,NA,0.4896618924200288,0.49889833522292804,0.4687762877166459,0.6006224066390041,0.5880503144654088,0.6151419558359621
18,white,True,nadam,48,sigmoid,0,NA,0.5841444527349207,0.5944314714833515,0.5835851774625251,0.5237933378653977,0.50920245398773,0.5081799591002045
18,red,True,nadam,48,sigmoid,0,NA,0.4938216936538823,0.5020693503085922,0.4952601198142259,0.5809128630705395,0.5817610062893082,0.5867507886435331
19,white,False,nadam,96,sigmoid,0,NA,0.5522756693235147,0.5900485393703593,0.5688681256307903,0.5509857239972807,0.5,0.5173824130879345
19,red,False,nadam,96,sigmoid,0,NA,0.4631194962010839,0.48822071717220283,0.4693935263420129,0.6224066390041494,0.5880503144654088,0.6214511041009464
19,white,True,nadam,96,sigmoid,0,NA,0.5838044422326001,0.5940681483847964,0.583570263380897,0.5268524813052345,0.5061349693251533,0.5081799591002045
19,red,True,nadam,96,sigmoid,0,NA,0.4944619316283103,0.503940685740057,0.49441556599613995,0.5767634854771784,0.5880503144654088,0.5962145110410094
20,white,False,rmsprop,6,sigmoid,0,NA,0.5661303535924325,0.5926258264143774,0.5710003634415765,0.5101971447994561,0.48568507157464214,0.5020449897750511
20,red,False,rmsprop,6,sigmoid,0,NA,0.5729203263753677,0.5507631931664809,0.5361741664657833,0.495850622406639,0.5157232704402516,0.5141955835962145
20,white,True,rmsprop,6,sigmoid,0,NA,0.5828740975226293,0.5943938715570056,0.5809599470750929,0.5197144799456153,0.5143149284253579,0.5153374233128835
20,red,True,rmsprop,6,sigmoid,0,NA,0.4834660192742882,0.4957375151556243,0.4870585658196771,0.5892116182572614,0.5849056603773585,0.6214511041009464
